日期,版本,事件Id,事件名称,消息数量,独立用户数
2023-03-14,null,canvas_image_bw,黑白画,41,11
2023-03-14,null,canvas_material,创作素材,53,27
2023-03-14,null,canvas_image_gcode,GCode,78,14
2023-03-14,null,canvas_image,创作图片,79,22
2023-03-14,null,canvas_shape,创作形状,114,28
2023-03-14,null,user_register,用户注册,138,66
2023-03-14,null,create,打开创作,243,55
2023-03-14,null,preview,预览,518,35
2023-03-14,null,engrave,雕刻,654,28
2023-03-14,null,connect_device,连接设备,5105,585
2023-03-14,null,search_device,搜索设备,7959,628
2023-03-15,null,smart_assistant,智能指南,1,1
2023-03-15,null,mm_unit,毫米单位,3,1
2023-03-15,null,rn_share,分享,4,4
2023-03-15,null,inch_unit,公制单位,5,3
2023-03-15,null,rn_help,帮助,7,7
2023-03-15,null,canvas_image_seal,印章,9,8
2023-03-15,null,rn_faq,FAQ,9,8
2023-03-15,null,rn_course,新手教程,20,12
2023-03-15,null,rn_guide,新手引导,23,17
2023-03-15,null,canvas_image_print,版画,28,12
2023-03-15,null,canvas_doodle,创作涂鸦,29,16
2023-03-15,null,canvas_image_bw,黑白画,36,24
2023-03-15,null,canvas_material,创作素材,59,23
2023-03-15,null,canvas_text,创作文本,60,22
2023-03-15,null,canvas_image_dithering,抖动,74,21
2023-03-15,null,canvas_image,创作图片,76,21
2023-03-15,null,canvas_image_gcode,GCode,82,18
2023-03-15,null,canvas_shape,创作形状,124,29
2023-03-15,null,user_register,用户注册,127,64
2023-03-15,null,create,打开创作,285,60
2023-03-15,null,preview,预览,575,42
2023-03-15,null,engrave,雕刻,584,29
2023-03-15,null,connect_device,连接设备,5358,626
2023-03-15,null,search_device,搜索设备,7474,667
2023-03-16,null,rn_share,分享,1,1
2023-03-16,null,rn_publish,发帖,1,1
2023-03-16,null,inch_unit,公制单位,5,4
2023-03-16,null,mm_unit,毫米单位,5,3
2023-03-16,null,smart_assistant,智能指南,6,5
2023-03-16,null,canvas_image_seal,印章,10,7
2023-03-16,null,rn_help,帮助,11,7
2023-03-16,null,rn_faq,FAQ,12,10
2023-03-16,null,rn_course,新手教程,16,9
